date,team1,team2,winner,champion_prediction,challenger_prediction,champion_correct,challenger_correct,category,champion_toss_winner_is_team1,challenger_toss_winner_is_team1,diff_toss_winner_is_team1,champion_team1_historical_win_rate,challenger_team1_historical_win_rate,diff_team1_historical_win_rate,champion_team2_historical_win_rate,challenger_team2_historical_win_rate,diff_team2_historical_win_rate,champion_team1_recent_win_rate,challenger_team1_recent_win_rate,diff_team1_recent_win_rate,champion_team2_recent_win_rate,challenger_team2_recent_win_rate,diff_team2_recent_win_rate,champion_team1_h2h_win_rate,challenger_team1_h2h_win_rate,diff_team1_h2h_win_rate,champion_team2_h2h_win_rate,challenger_team2_h2h_win_rate,diff_team2_h2h_win_rate,champion_team1_venue_win_rate,challenger_team1_venue_win_rate,diff_team1_venue_win_rate,champion_team2_venue_win_rate,challenger_team2_venue_win_rate,diff_team2_venue_win_rate,challenger_toss_data_known,changed_feature_count,changed_features,total_absolute_feature_change
2025-07-25,Hungary,Romania,Romania,1,0,False,True,CHALLENGER_IMPROVEMENT,1.0,1.0,0.0,0.5,0.4838709677419355,-0.016129032258064502,0.627906976744186,0.627906976744186,0.0,0.6,0.6,0.0,0.4,0.4,0.0,0.25,0.25,0.0,0.75,0.75,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1,team1_historical_win_rate,0.016129032258064502
2025-07-26,Rwanda,Malawi,Malawi,1,0,False,True,CHALLENGER_IMPROVEMENT,0.0,0.0,0.0,0.2926829268292683,0.2823529411764706,-0.01032998565279769,0.3793103448275862,0.3548387096774194,-0.024471635150166815,0.2,0.2,0.0,0.2,0.2,0.0,0.625,0.625,0.0,0.375,0.375,0.0,0.1666666666666666,0.1666666666666666,0.0,0.1428571428571428,0.1428571428571428,0.0,1,2,"team1_historical_win_rate, team2_historical_win_rate",0.034801620802964506
2025-08-08,Norway,France,Norway,1,0,True,False,CHALLENGER_REGRESSION,0.0,0.0,0.0,0.5,0.5,0.0,0.4827586206896552,0.4666666666666667,-0.01609195402298852,0.6,0.4,-0.19999999999999996,0.2,0.2,0.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.0,0.5,0.5,0.0,0.5,0.5,0.0,1,2,"team2_historical_win_rate, team1_recent_win_rate",0.21609195402298847
2025-09-30,Zimbabwe,Tanzania,Zimbabwe,1,0,True,False,CHALLENGER_REGRESSION,0.0,0.0,0.0,0.4090909090909091,0.3693181818181818,-0.03977272727272729,0.59375,0.5757575757575758,-0.0179924242424242,0.8,0.8,0.0,0.8,0.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.28,0.2692307692307692,-0.010769230769230809,0.5,0.5,0.0,1,3,"team1_historical_win_rate, team2_historical_win_rate, team1_venue_win_rate",0.0685343822843823
2025-10-08,Nepal,Kuwait,Nepal,1,0,True,False,CHALLENGER_REGRESSION,0.0,0.0,0.0,0.5957446808510638,0.5643564356435643,-0.0313882452074995,0.6129032258064516,0.6031746031746031,-0.009728622631848483,0.6,0.6,0.0,0.6,0.6,0.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,0.5333333333333333,0.5333333333333333,0.0,0.7,0.7,0.0,1,2,"team1_historical_win_rate, team2_historical_win_rate",0.04111686783934798
2025-10-16,Japan,United Arab Emirates,United Arab Emirates,1,0,False,True,CHALLENGER_IMPROVEMENT,0.0,0.0,0.0,0.6818181818181818,0.6666666666666666,-0.015151515151515138,0.5652173913043478,0.5230769230769231,-0.04214046822742468,0.6,0.6,0.0,0.6,0.6,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.6666666666666666,0.6666666666666666,0.0,0.6842105263157895,0.6842105263157895,0.0,1,2,"team1_historical_win_rate, team2_historical_win_rate",0.057291983378939815
2025-10-20,England,New Zealand,England,0,1,False,True,CHALLENGER_IMPROVEMENT,0.0,0.0,0.0,0.5454545454545454,0.5235849056603774,-0.021869639794168005,0.5596330275229358,0.5146443514644351,-0.044988676058500654,0.8,0.6,-0.20000000000000007,0.6,0.2,-0.39999999999999997,0.6,0.5357142857142857,-0.06428571428571428,0.4,0.3571428571428571,-0.04285714285714293,0.5,0.0,-0.5,0.625,0.5555555555555556,-0.06944444444444442,1,8,"team1_historical_win_rate, team2_historical_win_rate, team1_recent_win_rate, team2_recent_win_rate, team1_h2h_win_rate, team2_h2h_win_rate, team1_venue_win_rate, team2_venue_win_rate",1.3434456174399703
2025-10-27,West Indies,Bangladesh,West Indies,1,0,True,False,CHALLENGER_REGRESSION,1.0,1.0,0.0,0.4354066985645933,0.4155844155844156,-0.019822282980177686,0.3977900552486187,0.400990099009901,0.0032000437612823007,0.4,0.4,0.0,0.4,0.6,0.19999999999999996,0.5294117647058824,0.4736842105263157,-0.05572755417956665,0.4705882352941176,0.4210526315789473,-0.049535603715170295,0.5,0.5,0.0,0.5,0.5,0.0,1,5,"team1_historical_win_rate, team2_historical_win_rate, team2_recent_win_rate, team1_h2h_win_rate, team2_h2h_win_rate",0.3282854846361969
2025-11-02,Australia,India,India,0,1,True,False,CHALLENGER_REGRESSION,0.0,0.0,0.0,0.5902439024390244,0.5648148148148148,-0.02542908762420959,0.6936170212765957,0.6732283464566929,-0.020388674819902808,0.8,0.6,-0.20000000000000007,0.8,0.4,-0.4,0.375,0.3529411764705882,-0.022058823529411797,0.625,0.5882352941176471,-0.03676470588235292,1.0,1.0,0.0,0.5,0.5,0.0,1,6,"team1_historical_win_rate, team2_historical_win_rate, team1_recent_win_rate, team2_recent_win_rate, team1_h2h_win_rate, team2_h2h_win_rate",0.7046412918558772
2025-11-02,Cyprus,Bulgaria,Cyprus,1,0,True,False,CHALLENGER_REGRESSION,0.0,0.0,0.0,0.5714285714285714,0.5555555555555556,-0.015873015873015817,0.3720930232558139,0.3720930232558139,0.0,1.0,1.0,0.0,0.6,0.8,0.20000000000000007,1.0,0.5,-0.5,0.0,0.5,0.5,1.0,1.0,0.0,0.6666666666666666,1.0,0.33333333333333337,1,5,"team1_historical_win_rate, team2_recent_win_rate, team1_h2h_win_rate, team2_h2h_win_rate, team2_venue_win_rate",1.5492063492063495
