date,team1,team2,venue,toss_winner,toss_decision,match_type,season,winner,team1_won,toss_winner_is_team1,team1_historical_win_rate,team2_historical_win_rate,team1_recent_win_rate,team2_recent_win_rate,team1_h2h_win_rate,team2_h2h_win_rate,team1_venue_win_rate,team2_venue_win_rate
2007-09-20,South Africa,India,Kingsmead,India,bat,T20,2007/08,India,0,0,0.625,0.6666666666666666,0.8,0.6666666666666666,0.0,1.0,1.0,1.0
2007-09-20,Bangladesh,Pakistan,Newlands,Pakistan,field,T20,2007/08,Pakistan,0,0,0.3333333333333333,1.0,0.2,1.0,0.0,1.0,0.0,0.5
2007-09-20,Australia,Sri Lanka,Newlands,Australia,field,T20,2007/08,Australia,1,1,0.5555555555555556,0.7142857142857143,0.6,0.6,0.5,0.5,0.6666666666666666,0.5
2007-09-22,Australia,India,Kingsmead,India,bat,T20,2007/08,India,0,0,0.6,0.75,0.6,0.75,0.5,0.5,0.5,1.0
2007-09-22,New Zealand,Pakistan,Newlands,New Zealand,bat,T20,2007/08,Pakistan,0,1,0.5555555555555556,1.0,0.6,1.0,0.5,0.5,0.5,1.0
2007-09-24,India,Pakistan,New Wanderers Stadium,India,bat,T20,2007/08,India,1,1,0.8,1.0,0.8,1.0,0.5,0.5,0.5,1.0
2007-10-20,India,Australia,Brabourne Stadium,Australia,bat,T20,2007/08,India,1,0,0.8333333333333334,0.5454545454545454,0.8,0.6,1.0,0.0,0.5,0.5
2007-11-23,South Africa,New Zealand,New Wanderers Stadium,South Africa,field,T20,2007/08,South Africa,1,1,0.5555555555555556,0.5,0.8,0.4,0.5,0.5,0.5,0.6666666666666666
2007-12-11,Australia,New Zealand,Western Australia Cricket Association Ground,Australia,bat,T20,2007/08,Australia,1,1,0.5,0.45454545454545453,0.4,0.4,1.0,0.0,0.5,0.5
2007-12-16,South Africa,West Indies,St George's Park,West Indies,field,T20,2007/08,West Indies,0,0,0.6,0.25,0.8,0.25,1.0,0.0,0.5,0.5
2008-01-18,South Africa,West Indies,New Wanderers Stadium,South Africa,field,T20,2007/08,South Africa,1,1,0.5454545454545454,0.4,0.6,0.4,0.5,0.5,0.6,0.0
2008-02-01,Australia,India,Melbourne Cricket Ground,India,bat,T20,2007/08,Australia,1,0,0.5384615384615384,0.8571428571428571,0.4,1.0,0.0,1.0,0.5,0.5
2008-02-05,New Zealand,England,Eden Park,New Zealand,field,T20,2007/08,England,0,1,0.4166666666666667,0.2727272727272727,0.2,0.2,1.0,0.0,0.5,0.5
2008-02-07,New Zealand,England,Jade Stadium,England,bat,T20,2007/08,England,0,0,0.38461538461538464,0.3333333333333333,0.0,0.2,0.5,0.5,0.5,0.5
2008-04-20,Pakistan,Bangladesh,National Stadium,Pakistan,bat,T20,2007/08,Pakistan,1,1,0.8888888888888888,0.2857142857142857,0.8,0.2,1.0,0.0,0.5,0.5
2008-06-13,England,New Zealand,Old Trafford,England,field,T20,2008,England,1,1,0.38461538461538464,0.35714285714285715,0.4,0.0,0.6666666666666666,0.3333333333333333,0.5,0.5
2008-06-20,West Indies,Australia,"Kensington Oval, Bridgetown",West Indies,field,T20,2008,West Indies,1,1,0.3333333333333333,0.5714285714285714,0.2,0.6,0.5,0.5,0.5,0.5
2008-08-03,Bermuda,Scotland,"Civil Service Cricket Club, Stormont",Scotland,field,T20,2008,Scotland,0,0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5
2008-08-04,Ireland,Kenya,"Civil Service Cricket Club, Stormont",Ireland,field,T20,2008,Ireland,1,1,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5
2008-08-04,Netherlands,Scotland,"Civil Service Cricket Club, Stormont",Netherlands,field,T20,2008,Netherlands,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0
2008-10-11,Pakistan,Sri Lanka,Maple Leaf North-West Ground,Pakistan,field,T20,2008/09,Pakistan,1,1,0.9,0.625,0.8,0.6,1.0,0.0,0.5,0.5
2008-10-13,Pakistan,Sri Lanka,Maple Leaf North-West Ground,Sri Lanka,field,T20,2008/09,Sri Lanka,0,0,0.9090909090909091,0.5555555555555556,0.8,0.4,1.0,0.0,1.0,0.0
2008-11-05,South Africa,Bangladesh,New Wanderers Stadium,Bangladesh,field,T20,2008/09,South Africa,1,0,0.5833333333333334,0.25,0.6,0.0,1.0,0.0,0.6666666666666666,0.5
2008-12-28,New Zealand,West Indies,Seddon Park,New Zealand,bat,T20,2008/09,New Zealand,1,1,0.3333333333333333,0.42857142857142855,0.0,0.4,0.5,0.5,0.5,0.5
