date,team1,team2,venue,toss_winner,toss_decision,match_type,season,winner,team1_won,toss_winner_is_team1,team1_historical_win_rate,team2_historical_win_rate,team1_recent_win_rate,team2_recent_win_rate,team1_h2h_win_rate,team2_h2h_win_rate,team1_venue_win_rate,team2_venue_win_rate
2021-03-07,Australia,New Zealand,Sky Stadium,Australia,bat,T20,2020/21,New Zealand,0,1,0.5461538461538461,0.5193798449612403,0.6,0.4,0.75,0.25,0.5,0.5
2021-03-12,India,England,Narendra Modi Stadium,England,field,T20,2020/21,England,0,0,0.6484375,0.5299145299145299,0.8,0.8,0.5,0.5,0.5,0.5
2021-03-14,England,India,Narendra Modi Stadium,India,field,T20,2020/21,India,0,0,0.5338983050847458,0.6434108527131783,0.8,0.6,0.5333333333333333,0.4666666666666667,1.0,0.0
2021-03-16,India,England,Narendra Modi Stadium,England,field,T20,2020/21,England,0,0,0.6461538461538462,0.5294117647058824,0.6,0.8,0.5,0.5,0.5,0.5
2021-03-18,India,England,Narendra Modi Stadium,England,field,T20,2020/21,India,1,0,0.6412213740458015,0.5333333333333333,0.4,0.8,0.47058823529411764,0.5294117647058824,0.3333333333333333,0.6666666666666666
2021-03-20,India,England,Narendra Modi Stadium,England,field,T20,2020/21,India,1,0,0.6439393939393939,0.5289256198347108,0.4,0.6,0.5,0.5,0.5,0.5
2021-03-28,New Zealand,Bangladesh,Seddon Park,New Zealand,bat,T20,2020/21,New Zealand,1,1,0.5230769230769231,0.32142857142857145,0.6,0.4,1.0,0.0,0.8,0.0
2021-03-30,New Zealand,Bangladesh,McLean Park,Bangladesh,field,T20,2020/21,New Zealand,1,0,0.5267175572519084,0.3176470588235294,0.6,0.4,1.0,0.0,0.3333333333333333,0.0
2021-04-01,New Zealand,Bangladesh,Eden Park,Bangladesh,field,T20,2020/21,New Zealand,1,0,0.5303030303030303,0.313953488372093,0.6,0.4,1.0,0.0,0.4,0.5
2021-04-03,Uganda,Namibia,Wanderers,Uganda,bat,T20,2021,Namibia,0,1,0.5,0.75,0.5,0.6,0.0,1.0,0.5,0.5
2021-04-05,Namibia,Uganda,"Wanderers Cricket Ground, Windhoek",Namibia,bat,T20,2021,Namibia,1,1,0.7647058823529411,0.4,0.6,0.4,1.0,0.0,0.5,0.5
2021-04-05,Namibia,Uganda,"Wanderers Cricket Ground, Windhoek",Namibia,bat,T20,2021,Namibia,1,1,0.7777777777777778,0.3333333333333333,0.6,0.2,1.0,0.0,1.0,0.0
2021-04-10,South Africa,Pakistan,"The Wanderers Stadium, Johannesburg",South Africa,bat,T20,2021,Pakistan,0,1,0.5573770491803278,0.6233766233766234,0.2,0.6,0.5,0.5,0.5,0.5
2021-04-12,Pakistan,South Africa,"The Wanderers Stadium, Johannesburg",Pakistan,bat,T20,2021,South Africa,0,1,0.6258064516129033,0.5528455284552846,0.8,0.2,0.5294117647058824,0.47058823529411764,1.0,0.0
2021-04-14,South Africa,Pakistan,"SuperSport Park, Centurion",Pakistan,field,T20,2021,Pakistan,0,0,0.5564516129032258,0.6217948717948718,0.4,0.6,0.5,0.5,0.5,0.5
2021-04-16,South Africa,Pakistan,"SuperSport Park, Centurion",Pakistan,field,T20,2021,Pakistan,0,0,0.552,0.6242038216560509,0.4,0.6,0.47368421052631576,0.5263157894736842,0.0,1.0
2021-04-17,Netherlands,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,T20,2021,Nepal,0,0,0.5689655172413793,0.4827586206896552,1.0,0.8,0.6666666666666666,0.3333333333333333,0.5,0.5
2021-04-18,Netherlands,Malaysia,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,bat,T20,2021,Netherlands,1,1,0.559322033898305,0.5238095238095238,0.8,0.6,0.5,0.5,0.0,0.5
2021-04-19,Malaysia,Nepal,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,field,T20,2021,Nepal,0,0,0.5,0.5,0.4,0.8,0.0,1.0,0.0,1.0
2021-04-20,Nepal,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Nepal,bat,T20,2021,Netherlands,0,1,0.5161290322580645,0.5666666666666667,0.8,0.8,0.5,0.5,1.0,0.5
2021-04-21,Pakistan,Zimbabwe,Harare Sports Club,Zimbabwe,field,T20,2021,Pakistan,1,0,0.6265822784810127,0.25,0.8,0.0,1.0,0.0,0.9090909090909091,0.1
2021-04-22,Nepal,Malaysia,"Tribhuvan University International Cricket Ground, Kirtipur",Malaysia,field,T20,2021,Nepal,1,0,0.5,0.4782608695652174,0.6,0.2,1.0,0.0,0.6666666666666666,0.0
2021-04-23,Zimbabwe,Pakistan,Harare Sports Club,Pakistan,field,T20,2021,Zimbabwe,1,0,0.24615384615384617,0.6289308176100629,0.0,0.8,0.0,1.0,0.09523809523809523,0.9166666666666666
2021-04-24,Nepal,Netherlands,"Tribhuvan University International Cricket Ground, Kirtipur",Netherlands,field,T20,2021,Nepal,1,0,0.5151515151515151,0.5737704918032787,0.8,0.8,0.4,0.6,0.75,0.6666666666666666
2021-04-25,Pakistan,Zimbabwe,Harare Sports Club,Pakistan,bat,T20,2021,Pakistan,1,1,0.625,0.25757575757575757,0.6,0.2,0.9333333333333333,0.06666666666666667,0.8461538461538461,0.13636363636363635
2021-05-21,Luxembourg,Czech Republic,"Scott Page Field, Vinor",Czech Republic,field,T20,2021,Czech Republic,0,0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5
2021-05-22,Czech Republic,Luxembourg,"Scott Page Field, Vinor",Luxembourg,field,T20,2021,Luxembourg,0,0,0.5,0.0,0.5,0.0,1.0,0.0,1.0,0.0
2021-05-22,Austria,Czech Republic,"Scott Page Field, Vinor",Czech Republic,field,T20,2021,Austria,1,0,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5,0.5,0.5,0.5
2021-05-23,Austria,Luxembourg,"Scott Page Field, Vinor",Austria,bat,T20,2021,Luxembourg,0,1,1.0,0.25,1.0,0.25,0.5,0.5,1.0,0.5
2021-05-23,Czech Republic,Austria,"Scott Page Field, Vinor",Czech Republic,bat,T20,2021,Austria,0,1,0.25,0.5,0.25,0.5,0.0,1.0,0.3333333333333333,0.5
2021-06-23,Sri Lanka,England,"Sophia Gardens, Cardiff",Sri Lanka,bat,T20,2021,England,0,1,0.4596774193548387,0.5245901639344263,0.2,0.4,0.4444444444444444,0.5555555555555556,0.5,0.5
2021-06-24,Greece,Romania,"National Sports Academy, Sofia",Greece,bat,T20,2021,Romania,0,1,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.5,0.5,0.5
2021-06-24,Sri Lanka,England,"Sophia Gardens, Cardiff",Sri Lanka,bat,T20,2021,England,0,1,0.456,0.5284552845528455,0.2,0.4,0.4,0.6,0.0,1.0
2021-06-25,Serbia,Greece,"National Sports Academy, Sofia",Greece,field,T20,2021,Greece,0,0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.0
2021-06-25,Romania,Serbia,"National Sports Academy, Sofia",Romania,bat,T20,2021,Romania,1,1,0.75,0.0,0.75,0.0,0.5,0.5,1.0,0.0
2021-06-25,Bulgaria,Romania,"National Sports Academy, Sofia",Bulgaria,bat,T20,2021,Romania,0,1,0.3333333333333333,0.8,0.3333333333333333,0.8,0.3333333333333333,0.6666666666666666,0.5,1.0
2021-06-26,Serbia,Romania,"National Sports Academy, Sofia",Serbia,bat,T20,2021,Romania,0,1,0.0,0.8333333333333334,0.0,1.0,0.0,1.0,0.0,1.0
2021-06-26,England,Sri Lanka,"The Rose Bowl, Southampton",Sri Lanka,field,T20,2021,England,1,0,0.532258064516129,0.4523809523809524,0.6,0.2,0.6363636363636364,0.36363636363636365,0.5,0.5
2021-06-26,South Africa,West Indies,"National Cricket Stadium, St George's, Grenada",West Indies,field,T20,2021,West Indies,0,0,0.5476190476190477,0.45614035087719296,0.2,0.4,0.6,0.4,0.5,0.5
2021-06-27,South Africa,West Indies,"National Cricket Stadium, St George's, Grenada",West Indies,field,T20,2021,South Africa,1,0,0.5433070866141733,0.4608695652173913,0.2,0.6,0.5454545454545454,0.45454545454545453,0.0,1.0
2021-06-29,South Africa,West Indies,"National Cricket Stadium, St George's, Grenada",West Indies,field,T20,2021,South Africa,1,0,0.546875,0.45689655172413796,0.4,0.6,0.5833333333333334,0.4166666666666667,0.5,0.5
2021-07-01,West Indies,South Africa,"National Cricket Stadium, St George's, Grenada",South Africa,field,T20,2021,West Indies,1,0,0.452991452991453,0.5503875968992248,0.4,0.4,0.38461538461538464,0.6153846153846154,0.3333333333333333,0.6666666666666666
2021-07-03,South Africa,West Indies,"National Cricket Stadium, St George's, Grenada",South Africa,bat,T20,2021,South Africa,1,1,0.5461538461538461,0.4576271186440678,0.4,0.6,0.5714285714285714,0.42857142857142855,0.5,0.5
2021-07-08,Belgium,Malta,Marsa Sports Club,Belgium,bat,T20,2021,Malta,0,1,1.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5
2021-07-08,Malta,Belgium,Marsa Sports Club,Malta,bat,T20,2021,Belgium,0,1,1.0,0.75,1.0,0.75,1.0,0.0,1.0,0.0
2021-07-09,West Indies,Australia,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Australia,field,T20,2021,West Indies,1,0,0.453781512605042,0.5419847328244275,0.4,0.4,0.5454545454545454,0.45454545454545453,0.5,0.5
2021-07-09,Malta,Belgium,Marsa Sports Club,Belgium,field,T20,2021,Belgium,0,0,0.5,0.8,0.5,0.8,0.5,0.5,0.5,0.5
2021-07-10,Belgium,Malta,Marsa Sports Club,Belgium,bat,T20,2021,Belgium,1,1,0.8333333333333334,0.3333333333333333,0.8,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
2021-07-10,West Indies,Australia,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Australia,field,T20,2021,West Indies,1,0,0.4583333333333333,0.5378787878787878,0.4,0.4,0.5833333333333334,0.4166666666666667,1.0,0.0
2021-07-10,Belgium,Malta,Marsa Sports Club,Belgium,bat,T20,2021,Malta,0,1,0.8571428571428571,0.25,0.8,0.25,0.75,0.25,0.75,0.25
2021-07-12,Australia,West Indies,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Australia,bat,T20,2021,West Indies,0,1,0.5338345864661654,0.4628099173553719,0.4,0.6,0.38461538461538464,0.6153846153846154,0.0,1.0
2021-07-14,Australia,West Indies,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Australia,bat,T20,2021,Australia,1,1,0.5298507462686567,0.4672131147540984,0.2,0.8,0.35714285714285715,0.6428571428571429,0.0,1.0
2021-07-16,Pakistan,England,"Trent Bridge, Nottingham",England,field,T20,2021,Pakistan,1,0,0.6273291925465838,0.536,0.8,0.6,0.3125,0.6875,0.5,0.5
2021-07-16,West Indies,Australia,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",West Indies,bat,T20,2021,West Indies,1,1,0.4634146341463415,0.5333333333333333,0.6,0.2,0.6,0.4,0.75,0.25
2021-07-18,England,Pakistan,"Headingley, Leeds",Pakistan,field,T20,2021,England,1,0,0.5317460317460317,0.6296296296296297,0.6,0.8,0.6470588235294118,0.35294117647058826,0.5,0.5
2021-07-19,South Africa,Ireland,"The Village, Malahide, Dublin",Ireland,field,T20,2021,South Africa,1,0,0.549618320610687,0.53125,0.6,0.6,0.5,0.5,0.5,0.5
2021-07-20,Pakistan,England,"Old Trafford, Manchester",Pakistan,bat,T20,2021,England,0,1,0.6257668711656442,0.5354330708661418,0.6,0.8,0.3333333333333333,0.6666666666666666,0.5,0.5
2021-07-22,Zimbabwe,Bangladesh,Harare Sports Club,Zimbabwe,bat,T20,2021,Bangladesh,0,1,0.2537313432835821,0.3103448275862069,0.2,0.4,0.3333333333333333,0.6666666666666666,0.13043478260869565,0.5
2021-07-22,South Africa,Ireland,"Civil Service Cricket Club, Stormont, Belfast",South Africa,bat,T20,2021,South Africa,1,1,0.553030303030303,0.5230769230769231,0.8,0.4,1.0,0.0,0.5,0.5
2021-07-23,Zimbabwe,Bangladesh,Harare Sports Club,Zimbabwe,bat,T20,2021,Zimbabwe,1,1,0.25,0.3181818181818182,0.2,0.4,0.3076923076923077,0.6923076923076923,0.125,1.0
2021-07-24,South Africa,Ireland,"Civil Service Cricket Club, Stormont, Belfast",South Africa,bat,T20,2021,South Africa,1,1,0.556390977443609,0.5151515151515151,0.8,0.4,1.0,0.0,1.0,0.0
2021-07-25,India,Sri Lanka,"R Premadasa Stadium, Colombo",Sri Lanka,field,T20,2021,India,1,0,0.6466165413533834,0.44881889763779526,0.6,0.2,0.7222222222222222,0.2777777777777778,0.5,0.5
2021-07-25,Zimbabwe,Bangladesh,Harare Sports Club,Zimbabwe,bat,T20,2021,Bangladesh,0,1,0.2608695652173913,0.3146067415730337,0.4,0.2,0.35714285714285715,0.6428571428571429,0.16,0.5
2021-07-28,India,Sri Lanka,"R Premadasa Stadium, Colombo",Sri Lanka,field,T20,2021,Sri Lanka,0,0,0.6492537313432836,0.4453125,0.8,0.0,0.7368421052631579,0.2631578947368421,1.0,0.0
2021-07-29,India,Sri Lanka,"R Premadasa Stadium, Colombo",India,bat,T20,2021,Sri Lanka,0,1,0.6444444444444445,0.4496124031007752,0.6,0.2,0.7,0.3,0.5,0.5
2021-07-31,Pakistan,West Indies,"Providence Stadium, Guyana",West Indies,field,T20,2021,Pakistan,1,0,0.6219512195121951,0.46774193548387094,0.4,0.8,0.7857142857142857,0.21428571428571427,0.5,0.0
2021-08-03,Bangladesh,Australia,"Shere Bangla National Stadium, Mirpur",Australia,field,T20,2021,Bangladesh,1,0,0.32222222222222224,0.5294117647058824,0.4,0.2,0.0,1.0,0.6666666666666666,0.5
2021-08-04,Australia,Bangladesh,"Shere Bangla National Stadium, Mirpur",Australia,bat,T20,2021,Bangladesh,0,1,0.5255474452554745,0.32967032967032966,0.2,0.6,0.8,0.2,0.0,0.7142857142857143
2021-08-05,Norway,Germany,Bayer Uerdingen Cricket Ground,Germany,field,T20,2021,Germany,0,0,0.0,0.7142857142857143,0.0,0.8,0.0,1.0,0.5,0.5
2021-08-05,Norway,France,Bayer Uerdingen Cricket Ground,France,field,T20,2021,France,0,0,0.0,0.5,0.0,0.5,0.5,0.5,0.0,0.5
2021-08-06,Bangladesh,Australia,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,T20,2021,Bangladesh,1,1,0.33695652173913043,0.5217391304347826,0.8,0.2,0.3333333333333333,0.6666666666666666,0.75,0.0
2021-08-06,France,Germany,Bayer Uerdingen Cricket Ground,Germany,field,T20,2021,Germany,0,0,1.0,0.75,1.0,0.8,0.5,0.5,1.0,1.0
2021-08-07,Norway,France,Bayer Uerdingen Cricket Ground,France,field,T20,2021,Norway,1,0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.5
2021-08-07,Bangladesh,Australia,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,T20,2021,Australia,0,1,0.34408602150537637,0.5179856115107914,0.8,0.2,0.42857142857142855,0.5714285714285714,0.7777777777777778,0.0
2021-08-07,Germany,France,Bayer Uerdingen Cricket Ground,France,field,T20,2021,Germany,1,0,0.7777777777777778,0.3333333333333333,0.8,0.3333333333333333,1.0,0.0,1.0,0.3333333333333333
2021-08-08,Norway,Germany,Bayer Uerdingen Cricket Ground,Germany,field,T20,2021,Norway,1,0,0.14285714285714285,0.8,0.2,0.8,0.0,1.0,0.3333333333333333,1.0
2021-08-08,Norway,Germany,Bayer Uerdingen Cricket Ground,Norway,bat,T20,2021,Germany,0,1,0.25,0.7272727272727273,0.4,0.6,0.3333333333333333,0.6666666666666666,0.5,0.75
2021-08-09,Bangladesh,Australia,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,T20,2021,Bangladesh,1,1,0.3404255319148936,0.5214285714285715,0.8,0.2,0.375,0.625,0.7,0.25
2021-08-14,Denmark,Sweden,"Svanholm Park, Brondby",Sweden,field,T20,2021,Sweden,0,0,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.5
2021-08-15,Sweden,Denmark,"Svanholm Park, Brondby",Denmark,field,T20,2021,Denmark,0,0,1.0,0.3333333333333333,1.0,0.4,1.0,0.0,1.0,0.0
2021-08-18,Ghana,Rwanda,Gahanga International Cricket Stadium. Rwanda,Ghana,bat,T20,2021,Rwanda,0,1,0.0,0.5,0.0,0.5,0.5,0.5,0.5,0.5
2021-08-20,Gibraltar,Malta,Gucherre Cricket Ground,Malta,field,T20,2021,Malta,0,0,0.0,0.4,0.0,0.4,0.5,0.5,0.5,0.5
2021-08-20,Ghana,Rwanda,Gahanga International Cricket Stadium. Rwanda,Ghana,bat,T20,2021,Ghana,1,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2021-08-20,Rwanda,Ghana,Gahanga International Cricket Stadium. Rwanda,Ghana,field,T20,2021,Rwanda,1,0,0.5,0.16666666666666666,0.5,0.2,0.5,0.5,0.5,0.5
2021-08-21,Sweden,Finland,Kerava National Cricket Ground,Sweden,bat,T20,2021,Finland,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2021-08-21,Sweden,Finland,Kerava National Cricket Ground,Sweden,bat,T20,2021,Finland,0,1,0.3333333333333333,1.0,0.3333333333333333,1.0,0.0,1.0,0.0,1.0
2021-08-21,Rwanda,Ghana,Gahanga International Cricket Stadium. Rwanda,Rwanda,bat,T20,2021,Ghana,0,1,0.6666666666666666,0.14285714285714285,0.6666666666666666,0.2,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
2021-08-21,Malta,Gibraltar,Gucherre Cricket Ground,Gibraltar,field,T20,2021,Malta,1,0,0.5,0.0,0.4,0.0,1.0,0.0,1.0,0.0
2021-08-22,Finland,Sweden,Kerava National Cricket Ground,Sweden,field,T20,2021,Sweden,0,0,1.0,0.25,1.0,0.25,1.0,0.0,1.0,0.0
2021-08-22,Finland,Sweden,Kerava National Cricket Ground,Sweden,field,T20,2021,Sweden,0,0,0.6666666666666666,0.4,0.6666666666666666,0.4,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333
2021-08-22,Portugal,Gibraltar,Gucherre Cricket Ground,Gibraltar,field,T20,2021,Portugal,1,0,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0,0.0,0.5,0.0
2021-08-27,Zimbabwe,Ireland,"Castle Avenue, Dublin",Ireland,field,T20,2021,Zimbabwe,1,0,0.2571428571428571,0.5074626865671642,0.4,0.2,0.3333333333333333,0.6666666666666666,0.5,0.5
2021-08-29,Zimbabwe,Ireland,"Castle Avenue, Dublin",Zimbabwe,bat,T20,2021,Ireland,0,1,0.2676056338028169,0.5,0.4,0.0,0.5,0.5,1.0,0.0
2021-09-01,Ireland,Zimbabwe,"Bready Cricket Club, Magheramason, Bready",Zimbabwe,field,T20,2021,Ireland,1,0,0.5072463768115942,0.2638888888888889,0.2,0.4,0.6,0.4,0.5,0.5
2021-09-01,New Zealand,Bangladesh,"Shere Bangla National Stadium, Mirpur",New Zealand,bat,T20,2021,Bangladesh,0,1,0.5338345864661654,0.3473684210526316,0.8,0.8,1.0,0.0,0.5,0.7272727272727273
2021-09-02,Ireland,Zimbabwe,"Bready Cricket Club, Magheramason, Bready",Zimbabwe,field,T20,2021,Ireland,1,0,0.5142857142857142,0.2602739726027397,0.4,0.4,0.6666666666666666,0.3333333333333333,1.0,0.0
2021-09-02,Luxembourg,Bulgaria,"Moara Vlasiei Cricket Ground, Ilfov County",Bulgaria,field,T20,2021,Luxembourg,1,0,0.4,0.25,0.4,0.25,0.5,0.5,0.5,0.5
2021-09-02,Hungary,Czech Republic,"Moara Vlasiei Cricket Ground, Ilfov County",Czech Republic,field,T20,2021,Hungary,1,0,0.5,0.2,0.5,0.2,0.5,0.5,0.5,0.5
2021-09-03,Bangladesh,New Zealand,"Shere Bangla National Stadium, Mirpur",Bangladesh,bat,T20,2021,Bangladesh,1,1,0.3541666666666667,0.5298507462686567,0.8,0.8,0.09090909090909091,0.9090909090909091,0.75,0.0
2021-09-03,Romania,Czech Republic,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,bat,T20,2021,Romania,1,1,0.8571428571428571,0.16666666666666666,1.0,0.2,0.5,0.5,0.5,0.0
2021-09-03,Romania,Hungary,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,bat,T20,2021,Romania,1,1,0.875,1.0,1.0,1.0,0.5,0.5,1.0,1.0
2021-09-03,Bulgaria,Malta,"Moara Vlasiei Cricket Ground, Ilfov County",Bulgaria,bat,T20,2021,Malta,0,1,0.2,0.5714285714285714,0.2,0.6,0.5,0.5,0.0,0.5
2021-09-04,Zimbabwe,Ireland,"Bready Cricket Club, Magheramason, Bready",Zimbabwe,bat,T20,2021,Zimbabwe,1,1,0.25675675675675674,0.5211267605633803,0.2,0.6,0.2857142857142857,0.7142857142857143,0.0,1.0
2021-09-04,Romania,Malta,"Moara Vlasiei Cricket Ground, Ilfov County",Malta,field,T20,2021,Romania,1,0,0.8888888888888888,0.625,1.0,0.8,0.5,0.5,1.0,1.0
2021-09-04,Luxembourg,Hungary,"Moara Vlasiei Cricket Ground, Ilfov County",Hungary,field,T20,2021,Luxembourg,1,0,0.5,0.5,0.6,0.5,0.5,0.5,1.0,0.5
2021-09-05,Malta,Hungary,"Moara Vlasiei Cricket Ground, Ilfov County",Hungary,field,T20,2021,Hungary,0,0,0.5555555555555556,0.3333333333333333,0.8,0.3333333333333333,0.5,0.5,0.5,0.3333333333333333
2021-09-05,Romania,Luxembourg,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,bat,T20,2021,Romania,1,1,0.9,0.5714285714285714,1.0,0.8,0.5,0.5,1.0,1.0
2021-09-05,New Zealand,Bangladesh,"Shere Bangla National Stadium, Mirpur",New Zealand,bat,T20,2021,New Zealand,1,1,0.5259259259259259,0.36082474226804123,0.6,0.8,0.8333333333333334,0.16666666666666666,0.0,0.7692307692307693
2021-09-08,New Zealand,Bangladesh,"Shere Bangla National Stadium, Mirpur",New Zealand,bat,T20,2021,Bangladesh,0,1,0.5294117647058824,0.35714285714285715,0.6,0.6,0.8461538461538461,0.15384615384615385,0.3333333333333333,0.7142857142857143
2021-09-10,Spain,Germany,"Desert Springs Cricket Ground, Almeria",Germany,field,T20,2021,Germany,0,0,0.8333333333333334,0.75,0.8,0.8,0.5,0.5,0.5,0.5
2021-09-10,New Zealand,Bangladesh,"Shere Bangla National Stadium, Mirpur",New Zealand,bat,T20,2021,New Zealand,1,1,0.5255474452554745,0.36363636363636365,0.4,0.8,0.7857142857142857,0.21428571428571427,0.25,0.7333333333333333
2021-09-10,Kenya,Uganda,Entebbe Cricket Oval,Kenya,bat,T20,2021,Kenya,1,1,0.4,0.2857142857142857,0.4,0.2,1.0,0.0,0.5,0.5
2021-09-10,South Africa,Sri Lanka,"R Premadasa Stadium, Colombo",South Africa,bat,T20,2021,South Africa,1,1,0.5597014925373134,0.45384615384615384,0.8,0.4,0.5833333333333334,0.4166666666666667,0.5,0.6666666666666666
2021-09-11,Germany,Spain,"Desert Springs Cricket Ground, Almeria",Spain,field,T20,2021,Spain,0,0,0.7692307692307693,0.7142857142857143,0.8,0.6,0.6666666666666666,0.3333333333333333,1.0,0.0
2021-09-11,Germany,Spain,"Desert Springs Cricket Ground, Almeria",Germany,bat,T20,2021,Spain,0,1,0.7142857142857143,0.75,0.6,0.6,0.5,0.5,0.5,0.5
2021-09-11,Uganda,Nigeria,Entebbe Cricket Oval,Uganda,bat,T20,2021,Uganda,1,1,0.25,0.25,0.2,0.0,0.5,0.5,0.0,0.5
2021-09-11,Nigeria,Kenya,Entebbe Cricket Oval,Nigeria,bat,T20,2021,Kenya,0,1,0.2222222222222222,0.4230769230769231,0.0,0.6,0.5,0.5,0.0,1.0
2021-09-12,Sri Lanka,South Africa,"R Premadasa Stadium, Colombo",Sri Lanka,bat,T20,2021,South Africa,0,1,0.45038167938931295,0.562962962962963,0.4,1.0,0.38461538461538464,0.6153846153846154,0.5,1.0
2021-09-13,Kenya,Nigeria,Entebbe Cricket Oval,Kenya,bat,T20,2021,Kenya,1,1,0.4444444444444444,0.2,0.6,0.0,1.0,0.0,1.0,0.0
2021-09-13,Nigeria,Uganda,Entebbe Cricket Oval,Nigeria,bat,T20,2021,Uganda,0,1,0.18181818181818182,0.3333333333333333,0.0,0.2,0.0,1.0,0.0,0.5
2021-09-14,Sri Lanka,South Africa,"R Premadasa Stadium, Colombo",Sri Lanka,bat,T20,2021,South Africa,0,1,0.44696969696969696,0.5661764705882353,0.4,1.0,0.35714285714285715,0.6428571428571429,0.4,1.0
2021-09-15,Uganda,Nigeria,Entebbe Cricket Oval,Uganda,bat,T20,2021,Uganda,1,1,0.4,0.16666666666666666,0.4,0.0,1.0,0.0,0.6666666666666666,0.0
2021-09-15,Scotland,Zimbabwe,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Scotland,bat,T20,2021,Scotland,1,1,0.5116279069767442,0.26666666666666666,0.6,0.4,0.0,1.0,0.5,0.5
2021-09-16,Nigeria,Kenya,Entebbe Cricket Oval,Nigeria,bat,T20,2021,Nigeria,1,1,0.15384615384615385,0.4642857142857143,0.0,0.6,0.0,1.0,0.0,1.0
2021-09-17,Uganda,Kenya,Entebbe Cricket Oval,Uganda,bat,T20,2021,Uganda,1,1,0.45454545454545453,0.4482758620689655,0.6,0.6,0.0,1.0,0.75,0.75
2021-09-17,Zimbabwe,Scotland,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Zimbabwe,bat,T20,2021,Zimbabwe,1,1,0.2631578947368421,0.5227272727272727,0.2,0.8,0.5,0.5,0.0,1.0
2021-09-19,Scotland,Zimbabwe,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Scotland,bat,T20,2021,Zimbabwe,0,1,0.5111111111111111,0.2727272727272727,0.6,0.4,0.3333333333333333,0.6666666666666666,0.5,0.5
2021-10-05,Estonia,Cyprus,Happy Valley Ground,Estonia,bat,T20,2021/22,Cyprus,0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2021-10-05,Estonia,Cyprus,Happy Valley Ground,Cyprus,field,T20,2021/22,Cyprus,0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
2021-10-06,Cyprus,Isle of Man,Happy Valley Ground,Cyprus,bat,T20,2021/22,Isle of Man,0,1,1.0,0.0,1.0,0.0,0.5,0.5,1.0,0.5
2021-10-06,Estonia,Isle of Man,Happy Valley Ground,Estonia,bat,T20,2021/22,Isle of Man,0,1,0.0,0.5,0.0,0.5,0.5,0.5,0.0,1.0
2021-10-07,Cyprus,Isle of Man,Happy Valley Ground,Isle of Man,field,T20,2021/22,Isle of Man,0,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,1.0,0.6666666666666666,1.0
2021-10-07,United Arab Emirates,Ireland,"ICC Academy, Dubai",United Arab Emirates,bat,T20,2021/22,Ireland,0,1,0.5,0.5138888888888888,0.6,0.6,0.4,0.6,0.5,0.5
2021-10-08,Estonia,Isle of Man,Happy Valley Ground,Isle of Man,field,T20,2021/22,Isle of Man,0,0,0.0,0.75,0.0,0.75,0.0,1.0,0.0,1.0
2021-10-08,Papua New Guinea,Scotland,"ICC Academy, Dubai",Papua New Guinea,bat,T20,2021/22,Scotland,0,1,0.6666666666666666,0.5,0.8,0.6,0.0,1.0,0.5,0.5
2021-10-08,Cyprus,Estonia,Happy Valley Ground,Cyprus,bat,T20,2021/22,Cyprus,1,1,0.5,0.0,0.5,0.0,1.0,0.0,0.5,0.0
2021-10-08,United Arab Emirates,Ireland,"ICC Academy, Dubai",Ireland,field,T20,2021/22,United Arab Emirates,1,0,0.48717948717948717,0.5205479452054794,0.6,0.8,0.3333333333333333,0.6666666666666666,0.0,1.0
