date,team1,team2,venue,toss_winner,toss_decision,match_type,season,winner,source_url
2025-09-16,Afghanistan,Bangladesh,"of 2025 / Men's T20 Asia Cup / 9th Match, Group B (D/N) -Men's T20 Asia Cup 2025 9th Match, Group B (D/N) -Men's T20 Asia Cup 2025 T20I 9TH Abu Dhabi",,,T20,2025,Bangladesh,https://cricstats.in/live-cricket-score/2732938/mens-t20-asia-cup/scorecard
2025-09-18,Afghanistan,Sri Lanka,"2025 / Men's T20 Asia Cup / 11th Match, Group B (D/N) -Men's T20 Asia Cup 2025 11th Match, Group B (D/N) -Men's T20 Asia Cup 2025 T20I 11TH Abu Dhabi",,,T20,2025,Sri Lanka,https://cricstats.in/live-cricket-score/7444005/mens-t20-asia-cup/scorecard
2025-10-02,Afghanistan,Bangladesh,es / 1st T20I (N) -Afghanistan v Bangladesh T20I Series 2025 1st T20I (N) -Afghanistan v Bangladesh T20I Series 2025 T20I 1ST Sharjah Cricket Stadium,,,T20,2025,Bangladesh,https://cricstats.in/live-cricket-score/5100346/afghanistan-v-bangladesh-t20i-series/scorecard
2025-10-03,Afghanistan,Bangladesh,es / 2nd T20I (N) -Afghanistan v Bangladesh T20I Series 2025 2nd T20I (N) -Afghanistan v Bangladesh T20I Series 2025 T20I 2ND Sharjah Cricket Stadium,,,T20,2025,Bangladesh,https://cricstats.in/live-cricket-score/7095778/afghanistan-v-bangladesh-t20i-series/scorecard
2025-10-05,Afghanistan,Bangladesh,es / 3rd T20I (N) -Afghanistan v Bangladesh T20I Series 2025 3rd T20I (N) -Afghanistan v Bangladesh T20I Series 2025 T20I 3RD Sharjah Cricket Stadium,,,T20,2025,Bangladesh,https://cricstats.in/live-cricket-score/2596770/afghanistan-v-bangladesh-t20i-series/scorecard
2025-10-29,Zimbabwe,Afghanistan,babwe T20I Series / 1st T20I -Afghanistan in Zimbabwe T20I Series 2025 1st T20I -Afghanistan in Zimbabwe T20I Series 2025 T20I 1ST Harare Sports Club,,,T20,2025,Afghanistan,https://cricstats.in/live-cricket-score/5961845/afghanistan-in-zimbabwe-t20i-series/scorecard
2025-10-31,Zimbabwe,Afghanistan,babwe T20I Series / 2nd T20I -Afghanistan in Zimbabwe T20I Series 2025 2nd T20I -Afghanistan in Zimbabwe T20I Series 2025 T20I 2ND Harare Sports Club,,,T20,2025,Afghanistan,https://cricstats.in/live-cricket-score/5443580/afghanistan-in-zimbabwe-t20i-series/scorecard
2025-11-02,Zimbabwe,Afghanistan,babwe T20I Series / 3rd T20I -Afghanistan in Zimbabwe T20I Series 2025 3rd T20I -Afghanistan in Zimbabwe T20I Series 2025 T20I 3RD Harare Sports Club,,,T20,2025,Afghanistan,https://cricstats.in/live-cricket-score/7019508/afghanistan-in-zimbabwe-t20i-series/scorecard
2025-11-11,Qatar,Afghanistan,"fghanistan in Qatar T20I Series 2025 3rd T20I (D/N) -Afghanistan in Qatar T20I Series 2025 T20I 3RD West End Park International Cricket Stadium, Doha",,,T20,2025,Afghanistan,https://cricstats.in/live-cricket-score/7757636/afghanistan-in-qatar-t20i-series/scorecard
2026-01-19,Afghanistan,West Indies,"v West Indies T20I Series 2026 1st T20I-Afghanistan v West Indies T20I Series 2026 T20I 1ST Dubai International Cricket Stadium, United Arab Emirates",,,T20,2026,Afghanistan,https://cricstats.in/live-cricket-score/1919182/afghanistan-v-west-indies-t20i-series/scorecard
2026-01-21,Afghanistan,West Indies,"v West Indies T20I Series 2026 2nd T20I-Afghanistan v West Indies T20I Series 2026 T20I 2ND Dubai International Cricket Stadium, United Arab Emirates",,,T20,2026,Afghanistan,https://cricstats.in/live-cricket-score/2292931/afghanistan-v-west-indies-t20i-series/scorecard
2026-01-22,West Indies,Afghanistan,"v West Indies T20I Series 2026 3rd T20I-Afghanistan v West Indies T20I Series 2026 T20I 3RD Dubai International Cricket Stadium, United Arab Emirates",,,T20,2026,West Indies,https://cricstats.in/live-cricket-score/6312632/afghanistan-v-west-indies-t20i-series/scorecard
2026-02-08,Afghanistan,New Zealand,"/ 4th Match, Group D -ICC Men's T20 World Cup 2026 4th Match, Group D -ICC Men's T20 World Cup 2026 T20I 4TH MA Chidambaram Stadium, Chepauk, Chennai",,,T20,2026,New Zealand,https://cricstats.in/live-cricket-score/5360813/icc-mens-t20-world-cup/scorecard
2026-02-11,Afghanistan,South Africa,"Cup / 13th Match, Group D -ICC Men's T20 World Cup 2026 13th Match, Group D -ICC Men's T20 World Cup 2026 T20I 13TH Narendra Modi Stadium, Ahmedabad",,,T20,2026,South Africa,https://cricstats.in/live-cricket-score/3580809/icc-mens-t20-world-cup/scorecard
2026-02-16,Afghanistan,United Arab Emirates,"World Cup / 28th Match, Group D -ICC Men's T20 World Cup 2026 28th Match, Group D -ICC Men's T20 World Cup 2026 T20I 28TH Arun Jaitley Stadium, Delhi",,,T20,2026,Afghanistan,https://cricstats.in/live-cricket-score/7668998/icc-mens-t20-world-cup/scorecard
2026-02-19,Afghanistan,Canada,"h, Group D (N) -ICC Men's T20 World Cup 2026 39th Match, Group D (N) -ICC Men's T20 World Cup 2026 T20I 39TH MA Chidambaram Stadium, Chepauk, Chennai",,,T20,2026,Afghanistan,https://cricstats.in/live-cricket-score/2732907/icc-mens-t20-world-cup/scorecard
2026-09-13,India,Afghanistan,"ndia T20I Series / 1st T20I-Afghanistan in India T20I Series 2026 1st T20I-Afghanistan in India T20I Series 2026 T20I 1ST Arun Jaitley Stadium, Delhi",,,T20,2026,India,https://cricstats.in/live-cricket-score/8444445/afghanistan-in-india-t20i-series/scorecard
