date,team1,team2,venue,toss_winner,toss_decision,match_type,season,winner,team1_won,toss_winner_is_team1,team1_historical_win_rate,team2_historical_win_rate,team1_recent_win_rate,team2_recent_win_rate,team1_h2h_win_rate,team2_h2h_win_rate,team1_venue_win_rate,team2_venue_win_rate,actual,predicted,team1_probability,team2_probability,correct_prediction,confidence,confidence_level,year,historical_difference
2025-11-02,Australia,India,"Bellerive Oval, Hobart",India,field,T20,2025/26,India,0,0,0.5902439024390244,0.6936170212765957,0.8,0.8,0.375,0.625,1.0,0.5,0,0,0.45086700261778434,0.5491329973822157,True,0.5491329973822157,LOW,2025,0.10337311883757139
2025-11-02,Bulgaria,Cyprus,Happy Valley Ground 2,Cyprus,field,T20,2025/26,Cyprus,0,0,0.3809523809523809,0.5555555555555556,0.8,1.0,0.5,0.5,1.0,1.0,0,0,0.3696948540831376,0.6303051459168624,True,0.6303051459168624,MEDIUM,2025,0.1746031746031747
2025-11-02,Cyprus,Bulgaria,Happy Valley Ground 2,Bulgaria,field,T20,2025/26,Cyprus,1,0,0.5714285714285714,0.3720930232558139,1.0,0.6,1.0,0.0,1.0,0.6666666666666666,1,1,0.6667321730557076,0.33326782694429236,True,0.6667321730557076,MEDIUM,2025,0.1993355481727575
2025-11-03,Bulgaria,Cyprus,Happy Valley Ground 2,Bulgaria,bat,T20,2025/26,Cyprus,0,1,0.3636363636363636,0.5862068965517241,0.6,1.0,0.0,1.0,0.5,1.0,0,0,0.21683891244474965,0.7831610875552504,True,0.7831610875552504,HIGH,2025,0.2225705329153605
2025-11-03,Bulgaria,Cyprus,Happy Valley Ground 2,Bulgaria,bat,T20,2025/26,Cyprus,0,1,0.3555555555555555,0.6,0.4,1.0,0.0,1.0,0.4,1.0,0,0,0.20376223268996416,0.7962377673100358,True,0.7962377673100358,HIGH,2025,0.24444444444444446
2025-11-05,West Indies,New Zealand,"Eden Park, Auckland",New Zealand,field,T20,2025/26,West Indies,1,0,0.4433962264150943,0.5570776255707762,0.8,0.4,0.3333333333333333,0.6666666666666666,0.5,0.25,1,0,0.46661615329330447,0.5333838467066956,False,0.5333838467066956,LOW,2025,0.11368139915568193
2025-11-06,Timor-Leste,Indonesia,Udayana Cricket Ground,Timor-Leste,bat,T20,2025/26,Indonesia,0,1,0.5,0.453125,0.5,0.4,0.5,0.5,0.5,0.5,0,1,0.5114813089486443,0.4885186910513557,False,0.5114813089486443,LOW,2025,0.046875
2025-11-06,India,Australia,Carrara Oval,Australia,field,T20,2025/26,India,1,0,0.6949152542372882,0.587378640776699,0.8,0.8,0.6363636363636364,0.3636363636363636,0.5,0.5,1,1,0.5032196377417842,0.49678036225821576,True,0.5032196377417842,LOW,2025,0.10753661346058918
2025-11-06,Myanmar,Indonesia,Udayana Cricket Ground,Myanmar,bat,T20,2025/26,Indonesia,0,1,0.0588235294117647,0.4615384615384615,0.0,0.4,0.0,1.0,0.0,0.5116279069767442,0,0,0.23456023654254488,0.7654397634574551,True,0.7654397634574551,HIGH,2025,0.4027149321266968
2025-11-06,New Zealand,West Indies,"Eden Park, Auckland",West Indies,field,T20,2025/26,New Zealand,1,0,0.5545454545454546,0.4460093896713615,0.2,1.0,0.625,0.375,0.2,1.0,1,0,0.3573039559462642,0.6426960440537358,False,0.6426960440537358,MEDIUM,2025,0.10853606487409306
2025-11-07,Timor-Leste,Myanmar,Udayana Cricket Ground,Timor-Leste,bat,T20,2025/26,Myanmar,0,1,0.0,0.0555555555555555,0.0,0.0,0.5,0.5,0.0,0.0,0,0,0.4753987157101963,0.5246012842898037,True,0.5246012842898037,LOW,2025,0.0555555555555555
2025-11-08,Indonesia,Myanmar,Udayana Cricket Ground,Indonesia,bat,T20,2025/26,Indonesia,1,1,0.4776119402985074,0.1052631578947368,0.8,0.2,1.0,0.0,0.5333333333333333,0.125,1,1,0.7288754687477873,0.2711245312522127,True,0.7288754687477873,HIGH,2025,0.3723487824037706
2025-11-08,Timor-Leste,Indonesia,Udayana Cricket Ground,Indonesia,field,T20,2025/26,Indonesia,0,0,0.0,0.4696969696969697,0.0,0.6,0.0,1.0,0.0,0.5227272727272727,0,0,0.19242669322836356,0.8075733067716364,True,0.8075733067716364,HIGH,2025,0.4696969696969697
2025-11-09,Timor-Leste,Myanmar,Udayana Cricket Ground,Timor-Leste,bat,T20,2025/26,Myanmar,0,1,0.0,0.1,0.0,0.2,0.0,1.0,0.0,0.1111111111111111,0,0,0.3047648741703327,0.6952351258296673,True,0.6952351258296673,MEDIUM,2025,0.1
2025-11-09,New Zealand,West Indies,"Saxton Oval, Nelson",New Zealand,bat,T20,2025/26,New Zealand,1,1,0.5565610859728507,0.4439252336448598,0.2,0.8,0.6470588235294118,0.3529411764705882,0.0,0.5,1,0,0.4203496523123023,0.5796503476876977,False,0.5796503476876977,LOW,2025,0.11263585232799089
2025-11-11,Myanmar,Indonesia,Udayana Cricket Ground,Indonesia,field,T20,2025/26,Indonesia,0,0,0.1428571428571428,0.4852941176470588,0.4,1.0,0.0,1.0,0.2,0.5434782608695652,0,0,0.18117962330061438,0.8188203766993856,True,0.8188203766993856,HIGH,2025,0.342436974789916
2025-11-11,Timor-Leste,Indonesia,Udayana Cricket Ground,Timor-Leste,bat,T20,2025/26,Indonesia,0,1,0.0,0.4927536231884058,0.0,1.0,0.0,1.0,0.0,0.5531914893617021,0,0,0.1452524532768529,0.8547475467231471,True,0.8547475467231471,HIGH,2025,0.4927536231884058
2025-11-12,Qatar,Hong Kong,"West End Park International Cricket Stadium, Doha",Qatar,bat,T20,2025/26,Qatar,1,1,0.5,0.4711538461538461,0.6,0.4,0.2,0.8,0.6666666666666666,0.5,1,0,0.45342389438052294,0.5465761056194771,False,0.5465761056194771,LOW,2025,0.02884615384615391
2025-11-12,Myanmar,Timor-Leste,Udayana Cricket Ground,Myanmar,bat,T20,2025/26,Myanmar,1,1,0.1363636363636363,0.0,0.4,0.0,1.0,0.0,0.1818181818181818,0.0,1,1,0.6669154941114505,0.33308450588854954,True,0.6669154941114505,MEDIUM,2025,0.1363636363636363
2025-11-13,Hong Kong,Qatar,University of Doha for Science and Technology,Qatar,field,T20,2025/26,Hong Kong,1,0,0.4666666666666667,0.5098039215686274,0.2,0.6,0.6666666666666666,0.3333333333333333,0.5,0.8,1,0,0.46406932992112476,0.5359306700788753,False,0.5359306700788753,LOW,2025,0.04313725490196074
2025-11-13,Timor-Leste,Indonesia,Udayana Cricket Ground,Indonesia,field,T20,2025/26,Indonesia,0,0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.5625,0,0,0.14251332065348898,0.857486679346511,True,0.857486679346511,HIGH,2025,0.5
2025-11-13,West Indies,New Zealand,"University Oval, Dunedin",New Zealand,field,T20,2025/26,New Zealand,0,0,0.4418604651162791,0.5585585585585585,0.6,0.4,0.3333333333333333,0.6666666666666666,0.5,1.0,0,0,0.4098573148571292,0.5901426851428708,True,0.5901426851428708,LOW,2025,0.11669809344227944
2025-11-13,Myanmar,Indonesia,Udayana Cricket Ground,Myanmar,bat,T20,2025/26,Indonesia,0,1,0.1739130434782608,0.5070422535211268,0.6,1.0,0.0,1.0,0.25,0.5714285714285714,0,0,0.19292117222301192,0.807078827776988,True,0.807078827776988,HIGH,2025,0.33312921004286594
2025-11-14,Myanmar,Timor-Leste,Udayana Cricket Ground,Myanmar,bat,T20,2025/26,Myanmar,1,1,0.1666666666666666,0.0,0.4,0.0,1.0,0.0,0.2307692307692307,0.0,1,1,0.6780752944754721,0.3219247055245279,True,0.6780752944754721,MEDIUM,2025,0.1666666666666666
2025-11-16,United Arab Emirates,Oman,"West End Park International Cricket Stadium, Doha",United Arab Emirates,bat,T20,2025/26,Oman,0,1,0.5689655172413793,0.4893617021276595,0.6,0.8,0.5,0.5,0.6666666666666666,0.6666666666666666,0,0,0.4498998211683442,0.5501001788316557,True,0.5501001788316557,LOW,2025,0.07960381511371983
2025-11-18,Bahrain,Indonesia,Udayana Cricket Ground,Indonesia,field,T20,2025/26,Bahrain,1,0,0.6162790697674418,0.5138888888888888,1.0,1.0,0.8,0.2,0.8,0.58,1,1,0.5211192167620846,0.4788807832379154,True,0.5211192167620846,LOW,2025,0.102390180878553
2025-11-18,Zimbabwe,Pakistan,Rawalpindi Cricket Stadium,Pakistan,field,T20,2025/26,Pakistan,0,0,0.4203821656050955,0.5930232558139535,1.0,0.6,0.15,0.85,0.0,0.5714285714285714,0,0,0.31140688455367865,0.6885931154463214,True,0.6885931154463214,MEDIUM,2025,0.17264109020885804
2025-11-19,Bahrain,Indonesia,Udayana Cricket Ground,Indonesia,field,T20,2025/26,Bahrain,1,0,0.6206896551724138,0.5068493150684932,1.0,0.8,0.8333333333333334,0.1666666666666666,0.8333333333333334,0.5686274509803921,1,1,0.5771900059886548,0.4228099940113452,True,0.5771900059886548,LOW,2025,0.11384034010392063
2025-11-20,Zimbabwe,Sri Lanka,Rawalpindi Cricket Stadium,Sri Lanka,field,T20,2025/26,Zimbabwe,1,0,0.4177215189873418,0.4489795918367347,0.8,0.6,0.25,0.75,0.0,0.5,1,0,0.3444304018926675,0.6555695981073325,False,0.6555695981073325,MEDIUM,2025,0.031258072849392915
2025-11-21,Indonesia,Bahrain,Udayana Cricket Ground,Bahrain,field,T20,2025/26,Bahrain,0,0,0.5,0.625,0.6,1.0,0.1428571428571428,0.8571428571428571,0.5576923076923077,0.8571428571428571,0,0,0.27493903277483456,0.7250609672251654,True,0.7250609672251654,HIGH,2025,0.125
2025-11-22,Sri Lanka,Pakistan,Rawalpindi Cricket Stadium,Sri Lanka,bat,T20,2025/26,Pakistan,0,1,0.4467005076142132,0.5945945945945946,0.4,0.6,0.4166666666666667,0.5833333333333334,0.0,0.625,0,0,0.362009209123739,0.637990790876261,True,0.637990790876261,MEDIUM,2025,0.14789408698038142
2025-11-23,Pakistan,Zimbabwe,Rawalpindi Cricket Stadium,Pakistan,bat,T20,2025/26,Pakistan,1,1,0.5961538461538461,0.4213836477987421,0.8,0.8,0.8571428571428571,0.1428571428571428,0.6666666666666666,0.2,1,1,0.5911119182007782,0.40888808179922176,True,0.5911119182007782,LOW,2025,0.17477019835510404
2025-11-25,Bahrain,Malaysia,"Bayuemas Oval, Kuala Lumpur",Malaysia,field,T20,2025/26,Malaysia,0,0,0.6292134831460674,0.5670103092783505,1.0,0.6,0.7142857142857143,0.2857142857142857,1.0,0.6071428571428571,0,1,0.5990467631664045,0.4009532368335955,False,0.5990467631664045,LOW,2025,0.0622031738677169
2025-11-25,Zimbabwe,Sri Lanka,Rawalpindi Cricket Stadium,Zimbabwe,bat,T20,2025/26,Sri Lanka,0,1,0.41875,0.4444444444444444,0.6,0.2,0.3333333333333333,0.6666666666666666,0.1666666666666666,0.0,0,0,0.4945842754077552,0.5054157245922448,True,0.5054157245922448,LOW,2025,0.02569444444444441
2025-11-27,Sri Lanka,Pakistan,Rawalpindi Cricket Stadium,Pakistan,field,T20,2025/26,Sri Lanka,1,0,0.4472361809045226,0.5977011494252874,0.2,1.0,0.4,0.6,0.3333333333333333,0.7,1,0,0.2998503145240687,0.7001496854759313,False,0.7001496854759313,HIGH,2025,0.1504649685207648
2025-11-27,Ireland,Bangladesh,"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",Bangladesh,field,T20,2025/26,Ireland,1,0,0.4586466165413533,0.391304347826087,0.2,0.0,0.4,0.6,0.5,0.0,1,1,0.5856765387921317,0.41432346120786834,True,0.5856765387921317,LOW,2025,0.06734226871526633
2025-11-28,Brazil,Argentina,"St Albans Club, Buenos Aires",Brazil,bat,T20,2025/26,Argentina,0,1,0.3333333333333333,0.4761904761904761,0.2,0.8,0.0,1.0,0.5,0.6666666666666666,0,0,0.2569760730229742,0.7430239269770258,True,0.7430239269770258,HIGH,2025,0.1428571428571428
2025-11-29,Ireland,Bangladesh,"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",Ireland,bat,T20,2025/26,Bangladesh,0,1,0.4626865671641791,0.3891891891891892,0.2,0.0,0.5,0.5,1.0,0.0,0,1,0.6623196027821273,0.3376803972178727,False,0.6623196027821273,MEDIUM,2025,0.0734973779749899
2025-11-29,Sri Lanka,Pakistan,Rawalpindi Cricket Stadium,Pakistan,field,T20,2025/26,Pakistan,0,0,0.45,0.5954198473282443,0.4,0.8,0.4230769230769231,0.5769230769230769,0.5,0.6363636363636364,0,0,0.36767270486210907,0.6323272951378909,True,0.6323272951378909,MEDIUM,2025,0.14541984732824426
2025-11-30,Argentina,Brazil,"St Albans Club, Buenos Aires",Brazil,field,T20,2025/26,Argentina,1,0,0.5,0.3,0.8,0.2,1.0,0.0,0.75,0.3333333333333333,1,1,0.7213153514470386,0.2786846485529614,True,0.7213153514470386,HIGH,2025,0.2
2025-11-30,Thailand,Bahrain,"Bayuemas Oval, Kuala Lumpur",Bahrain,field,T20,2025/26,Bahrain,0,0,0.42,0.6222222222222222,0.4,0.8,1.0,0.0,0.3,0.9,0,0,0.463097361408636,0.536902638591364,True,0.536902638591364,LOW,2025,0.20222222222222225
2025-12-02,Ireland,Bangladesh,"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",Ireland,bat,T20,2025/26,Bangladesh,0,1,0.4592592592592592,0.3924731182795699,0.2,0.2,0.4285714285714285,0.5714285714285714,0.5,0.2,0,1,0.5421554498761668,0.4578445501238332,False,0.5421554498761668,LOW,2025,0.06678614097968932
2025-12-04,Sierra Leone,Rwanda,"Nigeria Cricket Federation Oval 1, Abuja",Rwanda,field,T20,2025/26,Rwanda,0,0,0.4137931034482758,0.2891566265060241,0.6,0.2,0.3333333333333333,0.6666666666666666,1.0,0.5,0,1,0.5547424303311551,0.4452575696688449,False,0.5547424303311551,LOW,2025,0.12463647694225172
2025-12-04,Nigeria,Zambia,"Nigeria Cricket Federation Oval 1, Abuja",Zambia,field,T20,2025/26,Nigeria,1,0,0.4683544303797468,0.5,0.4,0.5,0.5,0.5,1.0,0.5,1,1,0.5214551210022398,0.4785448789977602,True,0.5214551210022398,LOW,2025,0.03164556962025322
2025-12-05,Nigeria,Sierra Leone,"Nigeria Cricket Federation Oval 1, Abuja",Nigeria,bat,T20,2025/26,Nigeria,1,1,0.475,0.4,0.4,0.4,0.9,0.1,1.0,0.5,1,1,0.6548779047125057,0.34512209528749427,True,0.6548779047125057,MEDIUM,2025,0.07499999999999996
2025-12-05,Zambia,Rwanda,"Nigeria Cricket Federation Oval 1, Abuja",Rwanda,field,T20,2025/26,Rwanda,0,0,0.0,0.2976190476190476,0.0,0.4,0.5,0.5,0.0,1.0,0,0,0.3059869980490557,0.6940130019509443,True,0.6940130019509443,MEDIUM,2025,0.2976190476190476
2025-12-05,Croatia,Spain,La Manga Club Top Ground,Croatia,bat,T20,2025/26,Spain,0,1,0.1739130434782608,0.8055555555555556,0.0,1.0,0.0,1.0,0.5,1.0,0,0,0.1631684696990817,0.8368315303009183,True,0.8368315303009183,HIGH,2025,0.6316425120772948
2025-12-06,Nigeria,Rwanda,"Nigeria Cricket Federation Oval 1, Abuja",Rwanda,field,T20,2025/26,Nigeria,1,0,0.4814814814814814,0.3058823529411765,0.6,0.4,0.8571428571428571,0.1428571428571428,1.0,1.0,1,1,0.6251003227972175,0.3748996772027825,True,0.6251003227972175,MEDIUM,2025,0.1755991285403049
2025-12-06,Zambia,Sierra Leone,"Nigeria Cricket Federation Oval 1, Abuja",Zambia,bat,T20,2025/26,Zambia,1,1,0.0,0.3870967741935484,0.0,0.4,0.5,0.5,0.0,0.3333333333333333,1,0,0.3418351591400518,0.6581648408599482,False,0.6581648408599482,MEDIUM,2025,0.3870967741935484
2025-12-06,Spain,Croatia,La Manga Club Top Ground,Spain,bat,T20,2025/26,Spain,1,1,0.8108108108108109,0.1666666666666666,1.0,0.0,1.0,0.0,1.0,0.0,1,1,0.8482036457140336,0.15179635428596638,True,0.8482036457140336,HIGH,2025,0.6441441441441442
2025-12-06,Croatia,Spain,La Manga Club Top Ground,Spain,field,T20,2025/26,Spain,0,0,0.16,0.8157894736842105,0.0,1.0,0.0,1.0,0.0,1.0,0,0,0.13313374359497646,0.8668662564050236,True,0.8668662564050236,HIGH,2025,0.6557894736842105
2025-12-07,Spain,Croatia,La Manga Club Top Ground,Spain,bat,T20,2025/26,Spain,1,1,0.8205128205128205,0.1538461538461538,1.0,0.0,1.0,0.0,1.0,0.0,1,1,0.850098741938227,0.149901258061773,True,0.850098741938227,HIGH,2025,0.6666666666666667
2025-12-07,Croatia,Spain,La Manga Club Top Ground,Spain,field,T20,2025/26,Spain,0,0,0.1481481481481481,0.825,0.0,1.0,0.0,1.0,0.0,1.0,0,0,0.1313460198952273,0.8686539801047727,True,0.8686539801047727,HIGH,2025,0.6768518518518518
2025-12-07,Sierra Leone,Nigeria,"Nigeria Cricket Federation Oval 1, Abuja",Nigeria,field,T20,2025/26,Nigeria,0,0,0.375,0.4878048780487805,0.2,0.8,0.0909090909090909,0.9090909090909092,0.25,1.0,0,0,0.24217561478540375,0.7578243852145963,True,0.7578243852145963,HIGH,2025,0.11280487804878048
2025-12-07,Zambia,Rwanda,"Nigeria Cricket Federation Oval 1, Abuja",Zambia,bat,T20,2025/26,Rwanda,0,1,0.3333333333333333,0.3023255813953488,0.3333333333333333,0.4,0.0,1.0,0.3333333333333333,0.6666666666666666,0,0,0.32995201402456326,0.6700479859754367,True,0.6700479859754367,MEDIUM,2025,0.031007751937984496
2025-12-08,Nigeria,Zambia,"Nigeria Cricket Federation Oval 1, Abuja",Zambia,field,T20,2025/26,Nigeria,1,0,0.4939759036144578,0.25,0.8,0.25,1.0,0.0,1.0,0.25,1,1,0.7401129489544911,0.2598870510455089,True,0.7401129489544911,HIGH,2025,0.2439759036144578
2025-12-08,Rwanda,Sierra Leone,"Nigeria Cricket Federation Oval 1, Abuja",Sierra Leone,field,T20,2025/26,Rwanda,1,0,0.3103448275862069,0.3636363636363636,0.6,0.2,0.75,0.25,0.75,0.2,1,1,0.6203233749918954,0.3796766250081046,True,0.6203233749918954,MEDIUM,2025,0.053291536050156685
2025-12-09,Rwanda,Nigeria,"Nigeria Cricket Federation Oval 1, Abuja",Nigeria,field,T20,2025/26,Rwanda,1,0,0.3181818181818182,0.5,0.8,1.0,0.125,0.875,0.8,1.0,1,0,0.26121918019216017,0.7387808198078398,False,0.7387808198078398,HIGH,2025,0.18181818181818182
2025-12-09,India,South Africa,"Barabati Stadium, Cuttack",South Africa,field,T20,2025/26,India,1,0,0.6962025316455697,0.541871921182266,0.8,0.2,0.6,0.4,0.0,1.0,1,1,0.5402607395615047,0.45973926043849533,True,0.5402607395615047,LOW,2025,0.15433061046330365
2025-12-09,Sierra Leone,Zambia,"Nigeria Cricket Federation Oval 1, Abuja",Sierra Leone,bat,T20,2025/26,Zambia,0,1,0.3529411764705882,0.2,0.0,0.2,0.0,1.0,0.1666666666666666,0.2,0,0,0.38656644247416055,0.6134335575258394,True,0.6134335575258394,MEDIUM,2025,0.1529411764705882
2025-12-09,Bahrain,Bhutan,Gelephu International Cricket Ground,Bhutan,field,T20,2025/26,Bahrain,1,0,0.6263736263736264,0.3333333333333333,0.8,0.0,1.0,0.0,0.5,0.6,1,1,0.7428132494515801,0.2571867505484199,True,0.7428132494515801,HIGH,2025,0.29304029304029305
2025-12-09,Malaysia,Philippines,"Terdthai Cricket Ground, Bangkok",Philippines,field,T20,2025/26,Malaysia,1,0,0.5714285714285714,0.4242424242424242,0.6,0.8,0.5,0.5,0.5,0.5,1,0,0.44699168207321005,0.55300831792679,False,0.55300831792679,LOW,2025,0.1471861471861472
2025-12-09,Thailand,Indonesia,"Terdthai Cricket Ground, Bangkok",Indonesia,field,T20,2025/26,Indonesia,0,0,0.4117647058823529,0.4933333333333333,0.4,0.4,0.75,0.25,0.625,0.25,0,1,0.5709517492589548,0.42904825074104525,False,0.5709517492589548,LOW,2025,0.08156862745098037
2025-12-10,Indonesia,Malaysia,"Terdthai Cricket Ground, Bangkok",Malaysia,field,T20,2025/26,Malaysia,0,0,0.5,0.5757575757575758,0.4,0.6,0.5,0.5,0.4,1.0,0,0,0.4070057965134909,0.5929942034865091,True,0.5929942034865091,LOW,2025,0.0757575757575758
2025-12-10,Philippines,Singapore,"Terdthai Cricket Ground, Bangkok",Philippines,bat,T20,2025/26,Philippines,1,1,0.4117647058823529,0.360655737704918,0.8,0.2,0.5,0.5,0.0,0.6,1,0,0.49171173828496106,0.5082882617150389,False,0.5082882617150389,LOW,2025,0.05110896817743493
2025-12-11,Zambia,Rwanda,"Nigeria Cricket Federation Oval 1, Abuja",Rwanda,field,T20,2025/26,Zambia,1,0,0.3333333333333333,0.3258426966292135,0.4,0.8,0.0,1.0,0.3333333333333333,0.8333333333333334,1,0,0.24799804936862505,0.752001950631375,False,0.752001950631375,HIGH,2025,0.007490636704119813
2025-12-11,Nigeria,Sierra Leone,"Nigeria Cricket Federation Oval 1, Abuja",Nigeria,bat,T20,2025/26,Nigeria,1,1,0.4941176470588235,0.3428571428571428,0.8,0.0,0.9166666666666666,0.0833333333333333,0.8571428571428571,0.1428571428571428,1,1,0.7548674729751848,0.24513252702481525,True,0.7548674729751848,HIGH,2025,0.1512605042016807
2025-12-11,Philippines,Indonesia,"Terdthai Cricket Ground, Bangkok",Philippines,bat,T20,2025/26,Philippines,1,1,0.4285714285714285,0.4935064935064935,0.8,0.2,0.6363636363636364,0.3636363636363636,0.5,0.3333333333333333,1,1,0.5861150804293411,0.41388491957065887,True,0.5861150804293411,LOW,2025,0.06493506493506501
2025-12-11,South Africa,India,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",India,field,T20,2025/26,South Africa,1,0,0.5392156862745098,0.6974789915966386,0.2,0.8,0.3870967741935484,0.6129032258064516,0.5,0.5,1,0,0.3739614429918693,0.6260385570081307,False,0.6260385570081307,MEDIUM,2025,0.15826330532212884
2025-12-11,Bahrain,Bhutan,Gelephu International Cricket Ground,Bhutan,field,T20,2025/26,Bahrain,1,0,0.6304347826086957,0.3225806451612903,0.8,0.0,1.0,0.0,1.0,0.5,1,1,0.7858129627503598,0.21418703724964017,True,0.7858129627503598,HIGH,2025,0.30785413744740536
2025-12-11,Singapore,Thailand,"Terdthai Cricket Ground, Bangkok",Thailand,field,T20,2025/26,Singapore,1,0,0.3548387096774194,0.4038461538461538,0.2,0.4,0.75,0.25,0.5,0.5555555555555556,1,1,0.5259750280302455,0.47402497196975446,True,0.5259750280302455,LOW,2025,0.049007444168734426
2025-12-12,Indonesia,Singapore,"Terdthai Cricket Ground, Bangkok",Singapore,field,T20,2025/26,Singapore,0,0,0.4871794871794871,0.365079365079365,0.2,0.4,0.5,0.5,0.2857142857142857,0.5714285714285714,0,0,0.47666192323905526,0.5233380767609448,True,0.5233380767609448,LOW,2025,0.12210012210012211
2025-12-12,Bahrain,Bhutan,Gelephu International Cricket Ground,Bhutan,field,T20,2025/26,Bahrain,1,0,0.6344086021505376,0.3125,0.8,0.0,1.0,0.0,1.0,0.4285714285714285,1,1,0.7903843847886498,0.2096156152113502,True,0.7903843847886498,HIGH,2025,0.3219086021505376
2025-12-12,Rwanda,Sierra Leone,"Nigeria Cricket Federation Oval 1, Abuja",Rwanda,bat,T20,2025/26,Rwanda,1,1,0.3222222222222222,0.3333333333333333,0.6,0.0,0.8,0.2,0.7142857142857143,0.125,1,1,0.6807667507451258,0.3192332492548742,True,0.6807667507451258,MEDIUM,2025,0.011111111111111127
2025-12-12,Thailand,Malaysia,"Terdthai Cricket Ground, Bangkok",Malaysia,field,T20,2025/26,Malaysia,0,0,0.3962264150943396,0.58,0.4,0.6,0.0,1.0,0.5,1.0,0,0,0.27839856223637355,0.7216014377636264,True,0.7216014377636264,HIGH,2025,0.18377358490566037
2025-12-12,Nigeria,Zambia,"Nigeria Cricket Federation Oval 1, Abuja",Nigeria,bat,T20,2025/26,Nigeria,1,1,0.5,0.4285714285714285,0.8,0.6,1.0,0.0,0.875,0.4285714285714285,1,1,0.6469097265052259,0.35309027349477407,True,0.6469097265052259,MEDIUM,2025,0.07142857142857151
2025-12-13,Bhutan,Bahrain,Gelephu International Cricket Ground,Bahrain,field,T20,2025/26,Bahrain,0,0,0.303030303030303,0.6382978723404256,0.0,0.8,0.0,1.0,0.375,1.0,0,0,0.20780220807408603,0.792197791925914,True,0.792197791925914,HIGH,2025,0.3352675693101226
2025-12-13,Zambia,Sierra Leone,"Nigeria Cricket Federation Oval 1, Abuja",Zambia,bat,T20,2025/26,Sierra Leone,0,1,0.375,0.3243243243243243,0.4,0.0,1.0,0.0,0.375,0.1111111111111111,0,1,0.7025196405817508,0.29748035941824924,False,0.7025196405817508,HIGH,2025,0.05067567567567571
2025-12-13,Singapore,Malaysia,"Terdthai Cricket Ground, Bangkok",Singapore,bat,T20,2025/26,Malaysia,0,1,0.375,0.5841584158415841,0.4,0.8,0.25,0.75,0.625,1.0,0,0,0.30542322648710085,0.6945767735128991,True,0.6945767735128991,MEDIUM,2025,0.20915841584158412
2025-12-13,Thailand,Philippines,"Terdthai Cricket Ground, Bangkok",Philippines,field,T20,2025/26,Philippines,0,0,0.3888888888888889,0.4444444444444444,0.2,0.8,0.5,0.5,0.4545454545454545,0.6666666666666666,0,0,0.37317456196224735,0.6268254380377527,True,0.6268254380377527,MEDIUM,2025,0.055555555555555525
2025-12-13,Nigeria,Rwanda,"Nigeria Cricket Federation Oval 1, Abuja",Nigeria,bat,T20,2025/26,Nigeria,1,1,0.5057471264367817,0.3296703296703296,0.8,0.8,0.7777777777777778,0.2222222222222222,0.8888888888888888,0.75,1,1,0.5429437158201017,0.4570562841798983,True,0.5429437158201017,LOW,2025,0.17607679676645205
2025-12-14,Nigeria,Rwanda,"Nigeria Cricket Federation Oval 1, Abuja",Nigeria,bat,T20,2025/26,Nigeria,1,1,0.5113636363636364,0.3260869565217391,0.8,0.6,0.8,0.2,0.9,0.6666666666666666,1,1,0.5982103199796087,0.4017896800203913,True,0.5982103199796087,LOW,2025,0.18527667984189727
2025-12-14,Zambia,Sierra Leone,"Nigeria Cricket Federation Oval 1, Abuja",Sierra Leone,field,T20,2025/26,Zambia,1,0,0.3333333333333333,0.3421052631578947,0.4,0.2,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.2,1,1,0.5605286787544164,0.43947132124558363,True,0.5605286787544164,LOW,2025,0.008771929824561375
2025-12-14,South Africa,India,"Himachal Pradesh Cricket Association Stadium, Dharamsala",India,field,T20,2025/26,India,0,0,0.5414634146341464,0.694560669456067,0.4,0.6,0.40625,0.59375,0.5,1.0,0,0,0.39290661229578705,0.607093387704213,True,0.607093387704213,MEDIUM,2025,0.1530972548219206
2025-12-19,India,South Africa,"Narendra Modi Stadium, Ahmedabad",South Africa,field,T20,2025/26,India,1,0,0.6958333333333333,0.5388349514563107,0.8,0.2,0.6060606060606061,0.3939393939393939,1.0,0.5,1,1,0.6708335466686337,0.3291664533313663,True,0.6708335466686337,MEDIUM,2025,0.15699838187702264
2025-12-23,Indonesia,Cambodia,Udayana Cricket Ground,Indonesia,bat,T20,2025/26,Indonesia,1,1,0.4810126582278481,0.4285714285714285,0.2,0.6,0.4285714285714285,0.5714285714285714,0.5471698113207547,0.5384615384615384,1,0,0.4418851013039983,0.5581148986960017,False,0.5581148986960017,LOW,2025,0.05244122965641962
2025-12-23,Indonesia,Cambodia,Udayana Cricket Ground,Cambodia,field,T20,2025/26,Indonesia,1,0,0.4875,0.4137931034482758,0.4,0.4,0.4666666666666667,0.5333333333333333,0.5555555555555556,0.5,1,1,0.5019896822705863,0.49801031772941373,True,0.5019896822705863,LOW,2025,0.07370689655172419
