date,team1,team2,venue,toss_winner,toss_decision,match_type,season,winner,team1_won,toss_winner_is_team1,team1_historical_win_rate,team2_historical_win_rate,team1_recent_win_rate,team2_recent_win_rate,team1_h2h_win_rate,team2_h2h_win_rate,team1_venue_win_rate,team2_venue_win_rate,actual,predicted,team1_probability,team2_probability,correct_prediction,confidence,confidence_level,year,historical_difference
2025-07-25,Malawi,Bahrain,"Gahanga International Cricket Stadium, Rwanda",Malawi,bat,T20,2025,Bahrain,0,1,0.3928571428571428,0.6024096385542169,0.2,1.0,0.0,1.0,0.1666666666666666,1.0,0,0,0.19067803580292725,0.8093219641970728,True,0.8093219641970728,HIGH,2025,0.20955249569707413
2025-07-25,Kenya,Uganda,Entebbe Cricket Oval,Uganda,field,T20,2025,Uganda,0,0,0.5411764705882353,0.8,0.4,1.0,0.2857142857142857,0.7142857142857143,0.5,0.8888888888888888,0,0,0.2877059427035233,0.7122940572964767,True,0.7122940572964767,HIGH,2025,0.2588235294117648
2025-07-25,Romania,Austria,"GB Oval, Szodliget",Romania,bat,T20,2025,Austria,0,1,0.6428571428571429,0.6818181818181818,0.6,0.8,1.0,0.0,0.5,0.5,0,1,0.5712256684080957,0.42877433159190426,False,0.5712256684080957,LOW,2025,0.03896103896103886
2025-07-25,Hungary,Romania,"GB Oval, Szodliget",Hungary,bat,T20,2025,Romania,0,1,0.5,0.627906976744186,0.6,0.4,0.25,0.75,1.0,0.0,0,1,0.5188650446821159,0.4811349553178841,False,0.5188650446821159,LOW,2025,0.12790697674418605
2025-07-26,New Zealand,South Africa,Harare Sports Club,South Africa,field,T20,2025,New Zealand,1,0,0.5627906976744186,0.5544041450777202,1.0,0.6,0.3529411764705882,0.6470588235294118,1.0,0.5,1,0,0.4999149179874171,0.5000850820125828,False,0.5000850820125828,LOW,2025,0.008386552596698404
2025-07-26,United Arab Emirates,Nigeria,Entebbe Cricket Oval,United Arab Emirates,bat,T20,2025,United Arab Emirates,1,1,0.5825242718446602,0.4861111111111111,0.8,0.0,1.0,0.0,0.6666666666666666,0.1,1,1,0.7645980431638216,0.23540195683617837,True,0.7645980431638216,HIGH,2025,0.09641316073354905
2025-07-26,Finland,Estonia,Estonian National Cricket and Rugby Field,Finland,bat,T20,2025,Estonia,0,1,0.4444444444444444,0.4166666666666667,0.4,0.6,0.0,1.0,0.5,0.5,0,0,0.33462483393235387,0.6653751660676461,True,0.6653751660676461,MEDIUM,2025,0.027777777777777735
2025-07-26,West Indies,Australia,"Warner Park, Basseterre, St Kitts",Australia,field,T20,2025,Australia,0,0,0.4427860696517413,0.5786802030456852,0.2,1.0,0.44,0.56,0.3333333333333333,1.0,0,0,0.2919244713752811,0.7080755286247189,True,0.7080755286247189,HIGH,2025,0.13589413339394396
2025-07-26,Hong Kong,Malaysia,Singapore National Cricket Ground,Malaysia,field,T20,2025,Malaysia,0,0,0.4851485148514851,0.574468085106383,0.8,1.0,0.4444444444444444,0.5555555555555556,0.6666666666666666,1.0,0,0,0.34804244715020183,0.6519575528497982,True,0.6519575528497982,MEDIUM,2025,0.08931957025489795
2025-07-26,Rwanda,Malawi,"Gahanga International Cricket Stadium, Rwanda",Malawi,field,T20,2025,Malawi,0,0,0.2926829268292683,0.3793103448275862,0.2,0.2,0.625,0.375,0.1666666666666666,0.1428571428571428,0,1,0.5170857490143272,0.48291425098567275,False,0.5170857490143272,LOW,2025,0.08662741799831791
2025-07-26,Romania,Luxembourg,"GB Oval, Szodliget",Luxembourg,field,T20,2025,Romania,1,0,0.6363636363636364,0.3421052631578947,0.4,0.2,0.6666666666666666,0.3333333333333333,0.5,0.0,1,1,0.6621644736107086,0.3378355263892914,True,0.6621644736107086,MEDIUM,2025,0.29425837320574166
2025-07-26,Austria,Luxembourg,"GB Oval, Szodliget",Austria,bat,T20,2025,Austria,1,1,0.6888888888888889,0.3513513513513513,1.0,0.2,0.75,0.25,1.0,0.0,1,1,0.750582986375348,0.24941701362465196,True,0.750582986375348,HIGH,2025,0.33753753753753757
2025-07-26,Hungary,Austria,"GB Oval, Szodliget",Austria,field,T20,2025,Austria,0,0,0.5,0.6956521739130435,0.4,1.0,0.25,0.75,0.8571428571428571,1.0,0,0,0.30383058624860393,0.6961694137513961,True,0.6961694137513961,MEDIUM,2025,0.19565217391304346
2025-07-27,Bahrain,Malawi,"Gahanga International Cricket Stadium, Rwanda",Malawi,field,T20,2025,Bahrain,1,0,0.611764705882353,0.4,1.0,0.4,1.0,0.0,1.0,0.25,1,1,0.732208094064225,0.26779190593577495,True,0.732208094064225,HIGH,2025,0.21176470588235297
2025-07-27,Estonia,Finland,Estonian National Cricket and Rugby Field,Finland,field,T20,2025,Finland,0,0,0.44,0.4285714285714285,0.6,0.4,1.0,0.0,1.0,0.0,0,1,0.6984067817163604,0.3015932182836396,False,0.6984067817163604,MEDIUM,2025,0.01142857142857151
2025-07-27,Hungary,Luxembourg,"GB Oval, Szodliget",Luxembourg,field,T20,2025,Hungary,1,0,0.4848484848484848,0.3333333333333333,0.4,0.2,0.5,0.5,0.75,0.0,1,1,0.6117293772100727,0.3882706227899273,True,0.6117293772100727,MEDIUM,2025,0.1515151515151515
2025-07-27,Nigeria,Kenya,Entebbe Cricket Oval,Nigeria,bat,T20,2025,Kenya,0,1,0.4794520547945205,0.5348837209302325,0.0,0.2,0.25,0.75,0.0909090909090909,0.4444444444444444,0,0,0.4242364950396579,0.5757635049603421,True,0.5757635049603421,LOW,2025,0.05543166613571199
2025-07-27,Uganda,United Arab Emirates,Entebbe Cricket Oval,Uganda,bat,T20,2025,Uganda,1,1,0.8020833333333334,0.5865384615384616,1.0,0.8,1.0,0.0,0.9,0.75,1,1,0.6522720049710984,0.3477279950289016,True,0.6522720049710984,MEDIUM,2025,0.2155448717948718
2025-07-28,West Indies,Australia,"Warner Park, Basseterre, St Kitts",Australia,field,T20,2025,Australia,0,0,0.4405940594059406,0.5808080808080808,0.2,1.0,0.4230769230769231,0.5769230769230769,0.25,1.0,0,0,0.2808367987788102,0.7191632012211898,True,0.7191632012211898,HIGH,2025,0.14021402140214018
2025-07-31,Pakistan,West Indies,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",West Indies,field,T20,2025,Pakistan,1,0,0.588477366255144,0.438423645320197,0.6,0.0,0.8333333333333334,0.1666666666666666,1.0,0.25,1,1,0.7476534716494228,0.25234652835057725,True,0.7476534716494228,HIGH,2025,0.150053720934947
2025-08-02,Pakistan,West Indies,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Pakistan,bat,T20,2025,West Indies,0,1,0.5901639344262295,0.4362745098039216,0.6,0.0,0.8421052631578947,0.1578947368421052,1.0,0.2,0,1,0.7554952101633514,0.24450478983664858,False,0.7554952101633514,HIGH,2025,0.15388942462230792
2025-08-02,Switzerland,Estonia,Estonian National Cricket and Rugby Field,Switzerland,bat,T20,2025,Switzerland,1,1,0.6,0.4230769230769231,0.6,0.4,1.0,0.0,0.5,0.5,1,1,0.6639919251983427,0.3360080748016573,True,0.6639919251983427,MEDIUM,2025,0.1769230769230769
2025-08-03,Switzerland,Estonia,Estonian National Cricket and Rugby Field,Switzerland,bat,T20,2025,Switzerland,1,1,0.6296296296296297,0.3928571428571428,0.8,0.2,1.0,0.0,1.0,0.25,1,1,0.7663828343229816,0.2336171656770184,True,0.7663828343229816,HIGH,2025,0.23677248677248686
2025-08-03,Switzerland,Estonia,Estonian National Cricket and Rugby Field,Switzerland,bat,T20,2025,Switzerland,1,1,0.6153846153846154,0.4074074074074074,0.6,0.4,1.0,0.0,1.0,0.3333333333333333,1,1,0.7214964085305522,0.2785035914694478,True,0.7214964085305522,HIGH,2025,0.20797720797720803
2025-08-03,Pakistan,West Indies,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Pakistan,bat,T20,2025,Pakistan,1,1,0.5877551020408164,0.4390243902439024,0.4,0.2,0.8,0.2,0.6666666666666666,0.3333333333333333,1,1,0.6717761850272786,0.32822381497272135,True,0.6717761850272786,MEDIUM,2025,0.148730711796914
2025-08-07,Croatia,Cyprus,"Mladost Cricket Ground, Zagreb",Croatia,bat,T20,2025,Cyprus,0,1,0.2,0.4545454545454545,0.0,0.6,0.0,1.0,0.0,1.0,0,0,0.20772415435684924,0.7922758456431508,True,0.7922758456431508,HIGH,2025,0.25454545454545446
2025-08-07,Cyprus,Croatia,"Mladost Cricket Ground, Zagreb",Croatia,field,T20,2025,Cyprus,1,0,0.4285714285714285,0.2105263157894736,0.4,0.0,0.5,0.5,0.5,0.0,1,1,0.6252729446275905,0.37472705537240947,True,0.6252729446275905,MEDIUM,2025,0.2180451127819549
2025-08-08,Croatia,Cyprus,"Mladost Cricket Ground, Zagreb",Croatia,bat,T20,2025,Cyprus,0,1,0.1904761904761904,0.4782608695652174,0.0,0.6,0.0,1.0,0.0,1.0,0,0,0.20464287783791663,0.7953571221620834,True,0.7953571221620834,HIGH,2025,0.287784679089027
2025-08-08,Norway,France,"Botkyrka Cricket Center, Stockholm",France,field,T20,2025,Norway,1,0,0.5,0.4827586206896552,0.6,0.2,0.3333333333333333,0.6666666666666666,0.5,0.5,1,1,0.5071730905156434,0.4928269094843566,True,0.5071730905156434,LOW,2025,0.017241379310344807
2025-08-08,Cyprus,Croatia,"Mladost Cricket Ground, Zagreb",Cyprus,bat,T20,2025,Cyprus,1,1,0.5,0.1818181818181818,0.8,0.0,1.0,0.0,1.0,0.0,1,1,0.7981964649672181,0.20180353503278192,True,0.7981964649672181,HIGH,2025,0.31818181818181823
2025-08-08,Sweden,Austria,"Botkyrka Cricket Center, Stockholm",Sweden,bat,T20,2025,Austria,0,1,0.4347826086956521,0.7021276595744681,0.6,1.0,0.0,1.0,0.5,0.5,0,0,0.24587772537503247,0.7541222746249675,True,0.7541222746249675,HIGH,2025,0.267345050878816
2025-08-09,France,Austria,"Botkyrka Cricket Center, Stockholm",France,bat,T20,2025,Austria,0,1,0.4666666666666667,0.7083333333333334,0.0,1.0,0.0,1.0,0.0,1.0,0,0,0.18181287199166676,0.8181871280083333,True,0.8181871280083333,HIGH,2025,0.2416666666666667
2025-08-09,Norway,Sweden,"Botkyrka Cricket Center, Stockholm",Norway,bat,T20,2025,Norway,1,1,0.5128205128205128,0.4166666666666667,0.6,0.4,1.0,0.0,1.0,0.0,1,1,0.7181026030775535,0.28189739692244653,True,0.7181026030775535,HIGH,2025,0.09615384615384609
2025-08-10,Norway,Austria,"Botkyrka Cricket Center, Stockholm",Austria,field,T20,2025,Austria,0,0,0.525,0.7142857142857143,0.6,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0,0,0.3445030391747138,0.6554969608252862,True,0.6554969608252862,MEDIUM,2025,0.18928571428571428
2025-08-10,Sweden,France,"Botkyrka Cricket Center, Stockholm",Sweden,bat,T20,2025,France,0,1,0.4,0.4516129032258064,0.2,0.0,0.5,0.5,0.0,0.0,0,1,0.5445065146976161,0.45549348530238387,False,0.5445065146976161,LOW,2025,0.05161290322580636
